SOURCE	CATEGORY		FIELD_ID	FIELD_DESCRIPTION	TYPE		SEX-SPECIFICITY			Nº COMPLETENESS		% MISSINGNESS	
	UKBB_CATEGORY	GENERAL_CATEGORY			BINARY	QUANTITATIVE	MALE	FEMALE	COMMON_SEX	MALE	FEMALE	MALE	FEMALE
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26127	Sugar-sweetened_beverages_and_other_sugary_drinks	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26139	Sushi	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26141	Tea	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26142	Tea,_decaffeinated	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26143	Tomatoes	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26107	Unsalted_nuts_and_seeds	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26144	Vegetable_dips	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26147	Vegetable_side_dishes	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26148	Water_(still_and_sparkling)	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26073	White_bread	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26149	White_fish_and_tinned_tuna	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26113	White_pasta_and_rice	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26153	White_wine	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26150	Whole_milk	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26074	Wholemeal_bread	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Total_weight_by_food_group_yesterday	Diet	26114	Wholemeal_pasta,_brown_rice_and_other_wholegrains	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Typical_diet_yesterday	Diet	100010	Portion_size	0	1	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Typical_diet_yesterday	Diet	100020	Typical_diet_yesterday	1	0	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100150	Drinking_water_intake	0	1	0	0	1	21902	27890	88,6938746	87,7871487
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100160	Low_calorie_drink_intake	0	1	0	0	1	3260	4647	98,31714141	97,96510864
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100170	Fizzy_drink_intake	0	1	0	0	1	2964	2316	98,46994084	98,98583852
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100180	Squash_intake	0	1	0	0	1	3649	3792	98,11633405	98,33950763
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100190	Orange_juice_intake	0	1	0	0	1	7941	7746	95,90074232	96,60807651
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100200	Grapefruit_juice_intake	0	1	0	0	1	898	892	99,53643957	99,60939895
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100210	Pure_fruit/vegetable_juice_intake	0	1	0	0	1	3290	4035	98,30165498	98,2330995
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100220	Fruit_smoothie_intake	0	1	0	0	1	665	915	99,6567175	99,5993274
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100230	Dairy_smoothie_intake	0	1	0	0	1	1393	1347	99,28091349	99,41015738
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100240	Coffee_consumed	1	0	0	0	1	26845	32220	86,14222736	85,8910696
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100250	Instant_coffee_intake	0	1	0	0	1	13859	15823	92,84578614	93,07121025
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100270	Filtered_coffee_intake	0	1	0	0	1	5494	5977	97,16391869	97,38271021
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100290	Cappuccino_intake	0	1	0	0	1	1205	1982	99,37796178	99,13209497
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100300	Latte_intake	0	1	0	0	1	1117	1676	99,42338864	99,2660904
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100310	Espresso_intake	0	1	0	0	1	704	404	99,63658514	99,823091
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100330	Other_coffee_type	0	1	0	0	1	198	311	99,89778957	99,8638151
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100260	Added_milk_to_instant_coffee	1	0	0	0	1	11520	13225	94,05321137	94,20885771
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100280	Added_milk_to_filtered_coffee	1	0	0	0	1	3593	4158	98,14524205	98,17923859
online_follow_up	Hot_/_cold_beverages_yesterday	Diet	100360	Decaffeinated_coffee	1	0	0	0	1	3283	5370	98,30526848	97,6485116
